field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/best_model_2_layer.pth
model_params,256460
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,5.741769552230835
single_sample_latency_ms,474.3926525115967
avg_latency_ms,124.16857980912731
p50_latency_ms,127.83491611480713
p95_latency_ms,129.99589443206787
total_inference_time_s,38.94813680648804
latency_s_per_iteration,0.1256391509886711
throughput_samples_per_s,7.959302431852395
throughput_from_latency_samples_per_s,8.053567186942189
avg_total_loss,0.09848635088832629
avg_pressure_loss,0.013682391389363235
avg_vx_loss,0.020309847521205102
avg_vy_loss,0.02161604013414152
avg_vz_loss,0.017456157872032734
avg_power_w,8.429484210526317
median_power_w,8.381
peak_power_w,9.435
energy_j_total,327.66413842082017
energy_j_per_sample_est,1.0466770829445156
energy_j_per_sample_from_total,1.056981091680065
edp_j_s,0.12996440690798064
avg_gpu_util_pct,33.95789473684211
peak_gpu_util_pct,78.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,35.91842105263158
avg_ram_used_mb,5512.773684210526
peak_ram_used_mb,5610.0
ram_total_mb,7620.0
max_temp_c,55.468
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_layer2_tf32_r3/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_layer2_tf32_r3/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_layer2_tf32_r3/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_layer2_tf32_r3/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_layer2_tf32_r3/logs/tegrastats_completion_layer2_tf32_r3.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_layer2_tf32_r3/logs/virso_inference_completion_layer2_tf32_r3.log
Tegrastats_time_stamps_count,190
amp_mode,off
amp_resolved_dtype,None
collab_skip,1
elapsed_s,38.87100005149841
embed,1
inference_elapsed_wall_s,38.94813680648804
inference_end_wall_s,1781162874.777544
inference_start_wall_s,1781162835.8294072
k_neighbors,30
max_mode,40
mean_dt_s,0.20566666693914504
model_checkpoint_name,best_model_2_layer.pth
num_layers,2
power_source,VDD_IN/POM_5V_IN preferred; fallback sum/common rails
precision_mode,tf32
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_layer2_tf32_r3/reports
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_layer2_tf32_r3
run_ts,completion_layer2_tf32_r3
spatial,1
spectral,1
spectral_skip,1
tf32_cudnn_allowed,1
tf32_matmul_allowed,1
width,48
