field,value
run_ts,official_layer2_tf32_r3
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_tf32_r3
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_tf32_r3/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/best_model_2_layer.pth
model_checkpoint_name,best_model_2_layer.pth
model_params,256460
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_samples,310
input_dim,102
output_dim,4
num_layers,2
width,48
max_mode,40
k_neighbors,30
embed,1
spectral,1
spatial,1
collab_skip,1
spectral_skip,1
dataset_build_time_s,6.166440963745117
single_sample_latency_ms,366.52207374572754
avg_latency_ms,25.31272134473247
p50_latency_ms,22.235989570617676
p95_latency_ms,36.50712966918947
total_inference_time_s,7.972941637039185
inference_start_wall_s,1781334345.9557025
inference_end_wall_s,1781334353.9286442
inference_elapsed_wall_s,7.972941637039185
latency_s_per_iteration,0.025719166571094142
avg_total_loss,0.09848637953701038
avg_pressure_loss,0.01368239113700486
avg_vx_loss,0.02030986082409659
avg_vy_loss,0.02161602227678222
avg_vz_loss,0.017456161387024386
peak_gpu_mem_mb,103.53515625
cuda_peak_alloc_mb,103.53515625
cuda_peak_reserved_mb,146.0
cuda_mem_get_info_peak_used_mb,4587.9609375
cuda_mem_get_info_delta_from_program_start_mb,1137.9375
cuda_mem_get_info_delta_from_after_model_load_mb,371.94140625
cuda_mem_snapshots_json,"[{""tag"": ""program_start"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 4169.859375, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 3450.0234375}, {""tag"": ""after_normalizers"", ""alloc_mb"": 0.0009765625, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.0009765625, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3918.0859375, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 3701.796875}, {""tag"": ""after_model_load"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3403.86328125, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4216.01953125}, {""tag"": ""before_peak_reset_after_model_load"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3403.86328125, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4216.01953125}, {""tag"": ""after_peak_reset_before_inference"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3403.86328125, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4216.01953125}, {""tag"": ""after_first_sample_before_delete"", ""alloc_mb"": 16.0419921875, ""reserved_mb"": 146.0, ""max_alloc_mb"": 103.53515625, ""max_reserved_mb"": 146.0, ""mem_get_info_free_mb"": 3056.24609375, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4563.63671875}, {""tag"": ""after_timed_loop"", ""alloc_mb"": 9.11767578125, ""reserved_mb"": 146.0, ""max_alloc_mb"": 103.53515625, ""max_reserved_mb"": 146.0, ""mem_get_info_free_mb"": 3031.921875, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4587.9609375}]"
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_tf32_r3/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_tf32_r3/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_tf32_r3/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_tf32_r3/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_tf32_r3/logs/tegrastats_official_layer2_tf32_r3.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_tf32_r3/logs/virso_inference_official_layer2_tf32_r3.log
amp_mode,off
amp_resolved_dtype,None
tf32_mode,tf32
cuda_matmul_allow_tf32,True
cudnn_allow_tf32,True
float32_matmul_precision,high
