field,value
run_ts,prec_spectral_tf32
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_spectral_tf32
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_spectral_tf32/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/best_model_spectral.pth
model_checkpoint_name,best_model_spectral.pth
model_params,1584782
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_samples,310
input_dim,102
output_dim,4
num_layers,10
width,48
max_mode,64
k_neighbors,30
embed,1
spectral,1
spatial,0
collab_skip,1
spectral_skip,1
dataset_build_time_s,6.531445264816284
single_sample_latency_ms,230.47995567321777
avg_latency_ms,18.349384492443455
p50_latency_ms,16.65353775024414
p95_latency_ms,25.53590536117554
total_inference_time_s,5.801877975463867
inference_start_wall_s,1781307438.9640923
inference_end_wall_s,1781307444.7659702
inference_elapsed_wall_s,5.801877975463867
latency_s_per_iteration,0.018715735404722152
avg_total_loss,0.046457015015485305
avg_pressure_loss,0.005587052764190781
avg_vx_loss,0.010500800510447833
avg_vy_loss,0.009728348432409186
avg_vz_loss,0.007623707859085933
peak_gpu_mem_mb,29.26416015625
cuda_peak_alloc_mb,29.26416015625
cuda_peak_reserved_mb,52.0
cuda_mem_get_info_peak_used_mb,4398.28515625
cuda_mem_get_info_delta_from_program_start_mb,1033.921875
cuda_mem_get_info_delta_from_after_model_load_mb,242.125
cuda_mem_snapshots_json,"[{""tag"": ""program_start"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 4255.51953125, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 3364.36328125}, {""tag"": ""after_normalizers"", ""alloc_mb"": 0.0009765625, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.0009765625, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3996.703125, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 3623.1796875}, {""tag"": ""after_model_load"", ""alloc_mb"": 6.0634765625, ""reserved_mb"": 8.0, ""max_alloc_mb"": 6.0634765625, ""max_reserved_mb"": 8.0, ""mem_get_info_free_mb"": 3463.72265625, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4156.16015625}, {""tag"": ""before_peak_reset_after_model_load"", ""alloc_mb"": 6.0634765625, ""reserved_mb"": 8.0, ""max_alloc_mb"": 6.0634765625, ""max_reserved_mb"": 8.0, ""mem_get_info_free_mb"": 3463.72265625, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4156.16015625}, {""tag"": ""after_peak_reset_before_inference"", ""alloc_mb"": 6.0634765625, ""reserved_mb"": 8.0, ""max_alloc_mb"": 6.0634765625, ""max_reserved_mb"": 8.0, ""mem_get_info_free_mb"": 3463.72265625, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4156.16015625}, {""tag"": ""after_first_sample_before_delete"", ""alloc_mb"": 21.11376953125, ""reserved_mb"": 52.0, ""max_alloc_mb"": 28.697265625, ""max_reserved_mb"": 52.0, ""mem_get_info_free_mb"": 3260.60546875, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4359.27734375}, {""tag"": ""after_timed_loop"", ""alloc_mb"": 14.189453125, ""reserved_mb"": 52.0, ""max_alloc_mb"": 29.26416015625, ""max_reserved_mb"": 52.0, ""mem_get_info_free_mb"": 3221.59765625, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4398.28515625}]"
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_spectral_tf32/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_spectral_tf32/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_spectral_tf32/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_spectral_tf32/outputs/virso_single_gold.npy
monitor_cmd,none
monitor_log,
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_spectral_tf32/logs/virso_inference_prec_spectral_tf32.log
amp_mode,off
amp_resolved_dtype,None
tf32_mode,tf32
cuda_matmul_allow_tf32,True
cudnn_allow_tf32,True
float32_matmul_precision,high
